sourceRow,website,translationStatus,compileStatus,exactSpace,entropyBits,reachableStates,countPayloadBytes,peakRssBytes,compileMicros
61,goodreads.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202303898884390625,840.9567846230146,129,19662457,58269696,693627.599
63,ikea.com,translated,SUCCESS,3622996024341650240846169344179417500000,131.41237892327226,21,14952,110592,2796.924
65,priceline.com,translated,SUCCESS,777635388434868753304038937670673803594895131704996601793597364550835584153940138268273369125390625,328.5080471732007,51,501626,110592,40857.319
69,spotify.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258984828650625,657.000827589748,101,7465575,25120768,318805.613
71,creditkarma.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006188408187890625,657.000827589748,101,7453682,26005504,321382.173
74,gamespot.com,translated,SUCCESS,3789257459332188704226350957816873339467927512148352739029463429559146795357196870462319655099456905247253436618988016116817200,420.4848551222267,508,9993777,42647552,629561.5020000001
75,gfycat.com,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772656703650625,420.486025689834,65,1313483,7241728,83356.352
81,avast.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006188408187890625,657.000827589748,101,7453682,25964544,321315.56799999997
82,kbb.com,translated,SUCCESS,1957722449314639324001767020679119195924659428048007023884390625,210.25064622324365,33,91809,110592,11235.144
83,imore.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26079232,313255.579
85,expedia.com,translated,SUCCESS,216922155048713498504350916418738969077524590365422321890625,197.11093500658174,31,71872,110592,11760.448999999999
86,wattpad.com,translated,SUCCESS,3622996024341650240846169344914509390625,131.41237892327226,21,15505,110592,3427.1079999999997
87,polygon.com,translated,SUCCESS,12835912137827693040284421885441412013483600128215973021213600326939456010846320,262.79250531558046,160,816800,6000640,84271.03199999999
89,spanishdict.com,translated,SUCCESS,3622996024341650240846169344179417500000,131.41237892327226,21,14952,110592,2755.4010000000003
